ID	TEsorter	EDTA	Final
1A_TE_00000214_INT	LTR/Copia/Ivana	LTR/Copia	LTR/Copia/Ivana
1A_TE_00000215	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000216_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000217	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000218_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000219_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000220_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000221_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000222_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000223	TIR/MuDR_Mutator	DNA/DTM	TIR/MuDR_Mutator
1A_TE_00000224_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000225	Unknown	MITE/DTH	MITE/DTH
1A_TE_00000226_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000227_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000228_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000229_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000230	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000231_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000232_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000233	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000234_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000235	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000236	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000237_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000238_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000239_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000240	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000241_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000241_LTR	LTR/Gypsy/Athila	LTR/Gypsy	LTR/Gypsy/Athila
1A_TE_00000242_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000243	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000244_INT	LTR/Gypsy/Athila	LTR/Gypsy	LTR/Gypsy/Athila
1A_TE_00000245_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000246_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000247_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000248_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000249_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000250_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000251	LTR/Gypsy	DNA/DTC	LTR/Gypsy
1A_TE_00000252_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000253_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000254_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000255	TIR/EnSpm_CACTA	DNA/DTM	TIR/EnSpm_CACTA
1A_TE_00000256_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000257_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000258_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000259_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000260_LTR	LTR/Gypsy		LTR/Gypsy
1A_TE_00000261_INT	LTR/Copia		LTR/Copia
1A_TE_00000262_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000263	TIR/MuDR_Mutator	DNA/DTM	TIR/MuDR_Mutator
1A_TE_00000264	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000265_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000266_INT	LTR/Gypsy/Athila	LTR/Gypsy	LTR/Gypsy/Athila
1A_TE_00000267_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000268_INT	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000269_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000270_INT	LTR/Gypsy/Reina	LTR/Gypsy	LTR/Gypsy/Reina
1A_TE_00000270_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000271	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000272	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000273_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000274	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000275_INT	LTR/Copia		LTR/Copia
1A_TE_00000275_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000276_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000277	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000278_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000279_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000280_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000281_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000282_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000283_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000284_INT	LTR/Copia/Ale	LTR/Copia	LTR/Copia/Ale
1A_TE_00000284_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000285	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000286_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000287_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000288	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000289_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000290	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000291_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000292	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000293_INT	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000294_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000295	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000296_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000297	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000298_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000299_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000300_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000301	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000302_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000303_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000304_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000305_INT	LTR/Gypsy/Reina	LTR/Gypsy	LTR/Gypsy/Reina
1A_TE_00000305_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000306_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000307_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000308	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000309_INT	LTR/Gypsy	LTR/unknown	LTR/Gypsy
1A_TE_00000309_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000310_LTR	LTR/Copia		LTR/Copia
1A_TE_00000311_INT	LTR/Gypsy/Athila	LTR/Gypsy	LTR/Gypsy/Athila
1A_TE_00000311_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000312_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000313_INT	LTR/Copia/Ivana	LTR/Copia	LTR/Copia/Ivana
1A_TE_00000313_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000314_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000315_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000315_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000316_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000317_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000318_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000319	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000320_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000321_LTR	LTR/Gypsy		LTR/Gypsy
1A_TE_00000322	TIR/PIF_Harbinger	DNA/DTH	TIR/PIF_Harbinger
1A_TE_00000323_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000324	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000325_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000326_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000327_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000328	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000329	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000330	Unknown	MITE/DTM	MITE/DTM
1A_TE_00000331	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000332	Unknown	MITE/DTM	MITE/DTM
1A_TE_00000333	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000334_LTR	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000335_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000336_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000337_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000338	TIR/EnSpm_CACTA	DNA/DTC	TIR/EnSpm_CACTA
1A_TE_00000339_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000340_INT	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000341_INT	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000342	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000343_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000344_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000345	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000346_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000347_INT	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000348_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000348_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000349	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000350_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000351_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000352_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000353	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000354	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000355_INT	LTR/Gypsy/CRM	LTR/Gypsy	LTR/Gypsy/CRM
1A_TE_00000356	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000357_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000358_INT	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000359_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000360_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000360_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000361_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000362	Unknown	DNA/DTC	DNA/DTC
